"","X.1","Publication.Type","Authors","Book.Authors","Book.Editors","Book.Group.Authors","Author.Full.Names","Book.Author.Full.Names","Group.Authors","Article.Title","Abstract","Journal.Abbreviation","Journal.ISO.Abbreviation","Publication.Date","Publication.Year","Volume","Issue","Part.Number","DOI","X","DOI_2part"
"111",111,"J","White, LC; Thomson, VA; West, R; Ruykys, L; Ottewell, K; Kanowski, J; Moseby, KE; Byrne, M; Donnellan, SC; Copley, P; Austin, JJ",NA,NA,NA,"White, Lauren C.; Thomson, Vicki A.; West, Rebecca; Ruykys, Laura; Ottewell, Kym; Kanowski, John; Moseby, Katherine E.; Byrne, Margaret; Donnellan, Stephen C.; Copley, Peter; Austin, Jeremy J.",NA,"","Genetic monitoring of the greater stick-nest rat meta-population for strategic supplementation planning","Translocation is an increasingly common component of species conservation efforts. However, translocated populations often suffer from loss of genetic diversity and increased inbreeding, and thus may require active management to establish gene flow across isolated populations. Assisted gene flow can be laborious and costly, so recipient and source populations should be carefully chosen to maximise genetic diversity outcomes. The greater stick-nest rat (GSNR,Leporillus conditor), a threatened Australian rodent, has been the focus of a translocation program since 1985, resulting in five extant translocated populations (St Peter Island, Reevesby Island, Arid Recovery, Salutation Island and Mt Gibson), all derived from a remnant wild population on the East and West Franklin Islands. We evaluated the genetic diversity in all extant GSNR populations using a large single nucleotide polymorphism dataset with the explicit purpose of informing future translocation planning. Our results show varying levels of genetic divergence, inbreeding and loss of genetic diversity in all translocated populations relative to the remnant source on the Franklin Islands. All translocated populations would benefit from supplementation to increase genetic diversity, but two-Salutation Island and Mt Gibson-are of highest priority. We recommend a targeted admixture approach, in which animals for supplementation are sourced from populations that have low relatedness to the recipient population. Subject to assessment of contemporary genetic diversity, St Peter Island and Arid Recovery are the most appropriate source populations for genetic supplementation. Our study demonstrates an effective use of genetic surveys for data-driven management of threatened species.",NA,NA,"OCT",2020,21,"5",NA,"10.1007/s10592-020-01299-x",NA,"s10592-020-01299-x"
"113",113,"J","Muir, AP; Dubois, SF; Ross, RE; Firth, LB; Knights, AM; Lima, FP; Seabra, R; Corre, E; Le Corguille, G; Nunes, FLD",NA,NA,NA,"Muir, Anna P.; Dubois, Stanislas F.; Ross, Rebecca E.; Firth, Louise B.; Knights, Antony M.; Lima, Fernando P.; Seabra, Rui; Corre, Erwan; Le Corguille, Gildas; Nunes, Flavia L. D.",NA,"","Seascape genomics reveals population isolation in the reef-building honeycomb worm,Sabellaria alveolata(L.)","Background Under the threat of climate change populations can disperse, acclimatise or evolve in order to avoid fitness loss. In light of this, it is important to understand neutral gene flow patterns as a measure of dispersal potential, but also adaptive genetic variation as a measure of evolutionary potential. In order to assess genetic variation and how this relates to environment in the honeycomb worm (Sabellaria alveolata(L.)), a reef-building polychaete that supports high biodiversity, we carried out RAD sequencing using individuals from along its complete latitudinal range. Patterns of neutral population genetic structure were compared to larval dispersal as predicted by ocean circulation modelling, and outlier analyses and genotype-environment association tests were used to attempt to identify loci under selection in relation to local temperature data. Results We genotyped 482 filtered SNPs, from 68 individuals across nine sites, 27 of which were identified as outliers using BAYESCAN and ARLEQUIN. All outlier loci were potentially under balancing selection, despite previous evidence of local adaptation in the system. Limited gene flow was observed among reef-sites (F-ST = 0.28 +/- 0.10), in line with the low dispersal potential identified by the larval dispersal models. The North Atlantic reef emerged as a distinct population and this was linked to high local larval retention and the effect of the North Atlantic Current on dispersal. Conclusions As an isolated population, with limited potential for natural genetic or demographic augmentation from other reefs, the North Atlantic site warrants conservation attention in order to preserve not only this species, but above all the crucial functional ecological roles that are associated with their bioconstructions. Our study highlights the utility of using seascape genomics to identify populations of conservation concern.",NA,NA,"AUG 10",2020,20,"1",NA,"10.1186/s12862-020-01658-9",NA,"s12862-020-01658-9"
"128",128,"J","Humble, E; Paijmans, AJ; Forcada, J; Hoffman, JI",NA,NA,NA,"Humble, Emily; Paijmans, Anneke J.; Forcada, Jaume; Hoffman, Joseph I.",NA,"","An 85K SNP Array Uncovers Inbreeding and Cryptic Relatedness in an Antarctic Fur Seal Breeding Colony","High density single nucleotide polymorphism (SNP) arrays allow large numbers of individuals to be rapidly and cost-effectively genotyped at large numbers of genetic markers. However, despite being widely used in studies of humans and domesticated plants and animals, SNP arrays are lacking for most wild organisms. We developed a custom 85K Affymetrix Axiom array for an intensively studied pinniped, the Antarctic fur seal (Arctocephalus gazella). SNPs were discovered from a combination of genomic and transcriptomic resources and filtered according to strict criteria. Out of a total of 85,359 SNPs tiled on the array, 75,601 (88.6%) successfully converted and were polymorphic in 270 animals from a breeding colony at Bird Island in South Georgia. Evidence was found for inbreeding, with three genomic inbreeding coefficients being strongly intercorrelated and the proportion of the genome in runs of homozygosity being non-zero in all individuals. Furthermore, analysis of genomic relatedness coefficients identified previously unknown first-degree relatives and multiple second-degree relatives among a sample of ostensibly unrelated individuals. Such cryptic relatedness within fur seal breeding colonies may increase the likelihood of consanguineous matings and could therefore have implications for understanding fitness variation and mate choice. Finally, we demonstrate the cross-amplification potential of the array in three related pinniped species. Overall, our SNP array will facilitate future studies of Antarctic fur seals and has the potential to serve as a more general resource for the wider pinniped research community.",NA,NA,"AUG",2020,10,"8",NA,"10.1534/g3.120.401268",NA,"g3.120.401268"
"135",135,"J","Veatch, OJ; Bauer, CR; Keenan, BT; Josyula, NS; Mazzotti, DR; Bagai, K; Malow, BA; Robishaw, JD; Pack, AI; Pendergrass, SA",NA,NA,NA,"Veatch, Olivia J.; Bauer, Christopher R.; Keenan, Brendan T.; Josyula, Navya S.; Mazzotti, Diego R.; Bagai, Kanika; Malow, Beth A.; Robishaw, Janet D.; Pack, Allan, I; Pendergrass, Sarah A.",NA,"","Characterization of genetic and phenotypic heterogeneity of obstructive sleep apnea using electronic health records","Background Obstructive sleep apnea (OSA) is defined by frequent episodes of reduced or complete cessation of airflow during sleep and is linked to negative health outcomes. Understanding the genetic factors influencing expression of OSA may lead to new treatment strategies. Electronic health records (EHRs) can be leveraged to both validate previously reported OSA-associated genomic variation and detect novel relationships between these variants and comorbidities. Methods We identified candidate single nucleotide polymorphisms (SNPs) via systematic literature review of existing research. Using datasets available at Geisinger (n = 39,407) and Vanderbilt University Medical Center (n = 24,084), we evaluated associations between 40 previously implicated SNPs and OSA diagnosis, defined using clinical codes. We also evaluated associations between these SNPs and OSA severity measures obtained from sleep reports at Geisinger (n = 6571). Finally, we used a phenome-wide association study approach to help reveal pleiotropic genetic effects between OSA candidate SNPs and other clinical codes and laboratory values available in the EHR. Results Most previously reported OSA candidate SNPs showed minimal to no evidence for associations with OSA diagnosis or severity in the EHR-derived datasets. Three SNPs inLEPR,MMP-9, andGABBR1validated for an association with OSA diagnosis in European Americans; the SNP inGABBR1was associated following meta-analysis of results from both clinical populations. TheGABBR1andLEPRSNPs, and one additional SNP, were associated with OSA severity measures in European Americans from Geisinger. Three additional candidate OSA SNPs were not associated with OSA-related traits but instead with hyperlipidemia and autoimmune diseases of the thyroid. Conclusions To our knowledge, this is one of the largest candidate gene studies and one of the first phenome-wide association studies of OSA genomic variation. Results validate genetic associates with OSA in theLEPR, MMP-9andGABBR1genes, but suggest that the majority of previously identified genetic associations with OSA may be false positives. Phenome-wide analyses provide evidence of mediated pleiotropy. Future well-powered genome-wide association analyses of OSA risk and severity across populations with diverse ancestral backgrounds are needed. The comprehensive nature of the analyses represents a platform for informing future work focused on understanding how genetic data can be useful to informing treatment of OSA and related comorbidities.",NA,NA,"JUL 25",2020,13,"1",NA,"10.1186/s12920-020-00755-4",NA,"s12920-020-00755-4"
"148",148,"J","Ciuculete, DM; Voisin, S; Kular, L; Jonsson, J; Rask-Andersen, M; Mwinyi, J; Schioth, HB",NA,NA,NA,"Ciuculete, Diana M.; Voisin, Sarah; Kular, Lara; Jonsson, Jorgen; Rask-Andersen, Mathias; Mwinyi, Jessica; Schioth, Helgi B.",NA,"","meQTL and ncRNA functional analyses of 102 GWAS-SNPs associated with depression implicateHACE1andSHANK2genes","Background Little is known about how genetics and epigenetics interplay in depression. Evidence suggests that genetic variants may change vulnerability to depression by modulating DNA methylation (DNAm) and non-coding RNA (ncRNA) levels. Therefore, the aim of the study was to investigate the effect of the genetic variation, previously identified in the largest genome-wide association study for depression, on proximal DNAm and ncRNA levels. Results We performed DNAm quantitative trait locus (meQTL) analysis in two independent cohorts (totaln= 435 healthy individuals), testing associations between 102 single-nucleotide polymorphisms (SNPs) and DNAm levels in whole blood. We identified and replicated 64 SNP-CpG pairs (p(adj.)< 0.05) with meQTL effect. Lower DNAm at cg02098413 located in theHACE1promoter conferred by the risk allele (C allele) at rs1933802 was associated with higher risk for depression (p(raw)= 0.014, DNAm = 2.3%). In 1202 CD14+ cells sorted from blood, DNAm at cg02088412 positively correlated withHACE1mRNA expression. Investigation in postmortem brain tissue of adults diagnosed with major depressive disorder (MDD) indicated 1% higher DNAm at cg02098413 in neurons and lowerHACE1mRNA expression in CA1 hippocampus of MDD patients compared with healthy controls (p= 0.008 and 0.012, respectively). Expression QTL analysis in blood of 74 adolescent revealed that hsa-miR-3664-5p was associated with rs7117514 (SHANK2) (p(adj.)= 0.015, mRNA difference = 5.2%). Gene ontology analysis of the miRNA target genes highlighted implication in neuronal processes. Conclusions Collectively, our findings from a multi-tissue (blood and brain) and multi-layered (genetic, epigenetic, transcriptomic) approach suggest that genetic factors may influence depression by modulating DNAm and miRNA levels. Alterations atHACE1andSHANK2loci imply potential mechanisms, such as oxidative stress in the brain, underlying depression. Our results deepened the knowledge of molecular mechanisms in depression and suggest new epigenetic targets that should be further evaluated.",NA,NA,"JUL 2",2020,12,"1",NA,"10.1186/s13148-020-00884-8",NA,"s13148-020-00884-8"
"153",153,"J","Gervais, O; Ueno, K; Kawai, Y; Hitomi, Y; Misawa, K; Teraguchi, S; Wang, YY; Tokunaga, K; Nagasaki, M",NA,NA,NA,"Gervais, Olivier; Ueno, Kazuko; Kawai, Yosuke; Hitomi, Yuki; Misawa, Kazuharu; Teraguchi, Shunsuke; Wang, Yen-Yen; Tokunaga, Katsushi; Nagasaki, Masao",NA,"","Genomic Heritabilities and Correlations of 17 Traits Related to Obesity and Associated Conditions in the Japanese Population","Over the past few decades, obesity has become a public health issue of global concern. Even though disparities exist between human populations,e.g., the higher liver fat content of the Japanese despite a lower body mass index (BMI), studies on the genetics of obesity still largely focus on populations of European descent, leading to a dearth of genetic data on non-European populations. In this context, this study aimed to establish a broad picture of the genetic attributes of the Japanese population, by examining a representative sample of 18,889 individuals participating in the Tohoku Medical Megabank Project cohort. We applied linear mixed model methods to 17 traits related to obesity and associated diseases to estimate the heritabilities explained by common genetic variants and the genetic correlations between each pair of traits. These analyses allowed us to quantify the SNP heritability of health indicators such as BMI (0.248 +/- 0.032) and HDL cholesterol (0.324 +/- 0.031), and to provide one of the few estimates of the SNP heritability of cystatin C in unrelated individuals (0.260 +/- 0.025). We discuss potential differences between the Japanese and people of European ancestry with respect to the genetic correlations between urinary biomarkers and adiposity traits, for which large estimates were obtained. For instance, the genetic correlations between urine potassium level and the values for weight, BMI, waist circumference, and waist-to-height ratio ranged from 0.290 to 0.559, much higher than the corresponding estimates in the UK Biobank.",NA,NA,"JUL",2020,10,"7",NA,"10.1534/g3.120.401242",NA,"g3.120.401242"
"161",161,"J","Maukonen, M; Havulinna, AS; Mannisto, S; Kanerva, N; Salomaa, V; Partonen, T",NA,NA,NA,"Maukonen, Mirkka; Havulinna, Aki S.; Mannisto, Satu; Kanerva, Noora; Salomaa, Veikko; Partonen, Timo",NA,"","Genetic Associations of Chronotype in the Finnish General Population","Individuals with a later chronotype (evening types) tend to have unhealthier behaviors and increased morbidity and mortality as compared with those with an earlier chronotype (morning types). However, the role of genetics in explaining evening types' adverse health and health behavior is unclear. Our aim was to study genetic associations of chronotype among 8433 Finns from the cross-sectional National FINRISK 2007 and 2012 studies. First, we studied associations between chronotype and 20 key clock genes with a candidate-gene approach and then performed a full genome-wide association study (GWAS) of chronotype. We also developed a genetic risk score (GRS) for chronotype based on 313 single nucleotide polymorphisms (SNPs) that have previously been associated with chronotype. Chronotype was assessed with a shortened version of Horne and ostberg's Morningness-Eveningness Questionnaire (sMEQ), and for comparison, we also used the single self-evaluation question on chronotype from the questionnaire. Linear and logistic regression was used for statistical analysis assuming additive effects. The clock gene analysis revealed 1 independent association signal withinNR1D2(lead SNP rs4131403) that was associated with chronotype (p< 0.05; as based on both chronotype assessment methods). The GWAS analysis did not yield any genome-wide significant associations (p> 5 x 10(-8)). However, higher GRS was associated with evening chronotype (p< 0.001; as based on both chronotype assessment methods). In conclusion, our findings indicated novel genetic associations between chronotype and theNR1D2clock gene, which has previously been associated with carbohydrate and lipid metabolism. Furthermore, the GRS was able to capture the genetic aspect of chronotype in our study population. These findings expand our knowledge of the genetic basis of chronotype.",NA,NA,"OCT",2020,35,"5",NA,"10.1177/0748730420935328",NA,"0748730420935328"
"180",180,"J","Lilley, TM; Savilammi, T; Ossa, G; Blomberg, AS; Vasemagi, A; Yung, V; Vendrami, DLJ; Johnson, JS",NA,NA,NA,"Lilley, Thomas M.; Savilammi, Tiina; Ossa, Gonzalo; Blomberg, Anna S.; Vasemagi, Anti; Yung, Veronica; Vendrami, David L. J.; Johnson, Joseph S.",NA,"","Population Connectivity Predicts Vulnerability to White-Nose Syndrome in the Chilean Myotis (Myotis chiloensis)-A Genomics Approach","Despite its peculiar distribution, the biology of the southernmost bat species in the world, the Chilean myotis (Myotis chiloensis), has garnered little attention so far. The species has a north-south distribution of c. 2800 km, mostly on the eastern side of the Andes mountain range. Use of extended torpor occurs in the southernmost portion of the range, putting the species at risk of bat white-nose syndrome, a fungal disease responsible for massive population declines in North American bats. Here, we examined how geographic distance and topology would be reflected in the population structure of M. chiloensis along the majority of its range using a double digestion RAD-seq method. We sampled 66 individuals across the species range and discovered pronounced isolation-by-distance. Furthermore, and surprisingly, we found higher degrees of heterozygosity in the southernmost populations compared to the north. A coalescence analysis revealed that our populations may still not have reached secondary contact after the Last Glacial Maximum. As for the potential spread of pathogens, such as the fungus causing WNS, connectivity among populations was noticeably low, especially between the southern hibernatory populations in the Magallanes and Tierra del Fuego, and more northerly populations. This suggests the probability of geographic spread of the disease from the north through bat-to-bat contact to susceptible populations is low. The study presents a rare case of defined population structure in a bat species and warrants further research on the underlying factors contributing to this. See the graphical abstract here.",NA,NA,"JUN",2020,10,"6",NA,"10.1534/g3.119.401009",NA,"g3.119.401009"
"189",189,"J","Mhandire, DZ; Mhandire, K; Magadze, M; Wonkam, A; Kengne, AP; Dandara, C",NA,NA,NA,"Mhandire, Doreen Z.; Mhandire, Kudakwashe; Magadze, Mulalo; Wonkam, Ambroise; Kengne, Andre P.; Dandara, Collet",NA,"","Genetic variation in toll like receptors 2, 7, 9 and interleukin-6 is associated with cytomegalovirus infection in late pregnancy","Background Maternal cytomegalovirus (CMV) infection and/or reactivation in pregnancy is associated with a myriad of adverse infant outcomes. However, the role of host genetic polymorphisms in modulating maternal CMV status is inconclusive. This study investigated the possible association of single nucleotide polymorphisms in toll-like receptor (TLR) and cytokine genes with maternal plasma CMV DNA status in black Zimbabweans. Methods In a cross-sectional study, 110 women in late gestation who included 36 CMV infected cases and 74 CMV uninfected, age and HIV status matched controls were enrolled. Twenty single nucleotide polymorphisms in 10 genes which code for proteins involved in immunity against CMV were genotyped using Iplex GOLD SNP genotyping protocol on the Agena MassARRAY (R) system. Statistical analyses were performed using Stata SE and the 'Genetics' and 'SNPassoc' packages of the statistical package R. Results The TLR7 rs179008A > T (p < 0.001) polymorphism was associated while the TLR9 rs352139T > C (p = 0.049) polymorphism was on the borderline for association with CMV positive (CMV+) status. In contrast, the interleukin (IL)-6 rs10499563T > C (p < 0.001) and TLR2 rs1816702C > T (p = 0.001) polymorphisms were associated with CMV negative (CMV-) status. Furthermore, allele frequencies of SNPs in TLR2, TLR4, TLR9, TLR7, IL-6, IL-10, IL-28B, IL-1A and interferon AR1 (IFNAR1) genes are being reported here for the first time in a Zimbabwean population. The allele frequencies in the Zimbabwean population are generally comparable to other African populations but different when compared to European and Asian populations. Conclusions Toll-like receptor and interleukin genetic polymorphisms influence CMV status in late gestation among black Zimbabweans. This is attributable to possible modulation of immune responses to CMV reactivation in a population previously exposed to CMV infection.",NA,NA,"MAY 25",2020,21,"1",NA,"10.1186/s12881-020-01044-8",NA,"s12881-020-01044-8"
"198",198,"J","Hiltpold, M; Niu, GL; Kadri, NK; Crysnanto, D; Fang, ZH; Spengeler, M; Schmitz-Hsu, F; Fuerst, C; Schwarzenbacher, H; Seefried, FR; Seehusen, F; Witschi, U; Schnieke, A; Fries, R; Bollwein, H; Flisikowski, K; Pausch, H",NA,NA,NA,"Hiltpold, Maya; Niu, Guanglin; Kadri, Naveen Kumar; Crysnanto, Danang; Fang, Zih-Hua; Spengeler, Mirjam; Schmitz-Hsu, Fritz; Fuerst, Christian; Schwarzenbacher, Hermann; Seefried, Franz R.; Seehusen, Frauke; Witschi, Ulrich; Schnieke, Angelika; Fries, Ruedi; Bollwein, Heinrich; Flisikowski, Krzysztof; Pausch, Hubert",NA,"","Activation of cryptic splicing in bovine WDR19 is associated with reduced semen quality and male fertility","Cattle are ideally suited to investigate the genetics of male reproduction, because semen quality and fertility are recorded for all ejaculates of artificial insemination bulls. We analysed 26,090 ejaculates of 794 Brown Swiss bulls to assess ejaculate volume, sperm concentration, sperm motility, sperm head and tail anomalies and insemination success. The heritability of the six semen traits was between 0 and 0.26. Genome-wide association testing on 607,511 SNPs revealed a QTL on bovine chromosome 6 that was associated with sperm motility (P = 2.5 x 10(-27)), head (P = 2.0 x 10(-44)) and tail anomalies (P = 7.2 x 10(-49)) and insemination success (P = 9.9 x 10(-13)). The QTL harbors a recessive allele that compromises semen quality and male fertility. We replicated the effect of the QTL on fertility (P = 7.1 x 10(-32)) in an independent cohort of 2481 Brown Swiss bulls. The analysis of whole-genome sequencing data revealed that a synonymous variant (BTA6:58373887C>T, rs474302732) in WDR19 encoding WD repeat-containing protein 19 was in linkage disequilibrium with the fertility-associated haplotype. WD repeat-containing protein 19 is a constituent of the intraflagellar transport complex that is essential for the physiological function of motile cilia and flagella. Bioinformatic and transcription analyses revealed that the BTA6:58373887 T-allele activates a cryptic exonic splice site that eliminates three evolutionarily conserved amino acids from WDR19. Western blot analysis demonstrated that the BTA6:58373887 T-allele decreases protein expression. We make the remarkable observation that, in spite of negative effects on semen quality and bull fertility, the BTA6:58373887 T-allele has a frequency of 24% in the Brown Swiss population. Our findings are the first to uncover a variant that is associated with quantitative variation in semen quality and male fertility in cattle. Author summary In cattle farming, artificial insemination is the most common method of breeding. To ensure high fertilization rates, ejaculate quality and insemination success are closely monitored in artificial insemination bulls. We analyse semen quality, insemination success and microarray-called genotypes at more than 600,000 genome-wide SNP markers of 794 bulls to identify a recessive allele that compromises semen quality. We take advantage of whole-genome sequencing to pinpoint a variant in the coding sequence of WDR19 encoding WD repeat-containing protein 19 that activates a novel exonic splice site. Our results indicate that cryptic splicing in WDR19 is associated with reduced male reproductive performance. This is the first report of a variant that contributes to quantitative variation in bovine semen quality.",NA,NA,"MAY",2020,16,"5",NA,"10.1371/journal.pgen.1008804",NA,"journal.pgen.1008804"
